side	greater_affix	description_base	group	itypes	etypes	bands	greater_exact_mods	apex_affix	apex_exact_mods	apex_line	apex_mapping_note
prefix	Greater Valkyrie's	Greater +# to Amazon Skill Levels	125	miss,spea		early L50-65 req36 freq1 line1481; mid L66-80 req36 freq3 line1482; late L81-? req36 freq4 line1483	greater_m_ama 3-3	Valkyrie's	ama 2-2	226	exact base-name match
prefix	Greater Valkyrie's	Greater +# to Amazon Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1484; mid L66-80 req57 freq3 line1485; late L81-? req57 freq4 line1486	greater_m_ama 3-3	Valkyrie's	ama 2-2	223	exact base-name match
prefix	Greater Valkyrie's	Greater +# to Amazon Skill Levels	125	tors		early L50-65 req64 freq1 line1517; mid L66-80 req64 freq1 line1518; late L81-? req64 freq2 line1519	greater_m_ama 3-3	Valkyrie's	ama 2-2	221	exact base-name match
prefix	Greater Venomous	Greater +# to Poison and Bone Skills	125	wand,head,amul,knif,circ	tkni	early L50-65 req38 freq1 line1583; mid L66-80 req38 freq1 line1584; late L81-? req38 freq2 line1585	greater_m_skilltab(param=7) 4-4	Venomous	skilltab(param=7) 3-3	318	exact base-name match
prefix	Greater Volcanic	Greater +# to Fire Skills	125	staf,orb,amul,circ		early L50-65 req38 freq1 line1571; mid L66-80 req38 freq1 line1572; late L81-? req38 freq2 line1573	greater_m_skilltab(param=3) 4-4	Volcanic	skilltab(param=3) 3-3	302	exact base-name match
prefix	Greater Witch-hunter's	Greater +# to Assassin Skill Levels	125	amul,circ		early L50-65 req57 freq1 line1502; mid L66-80 req57 freq3 line1503; late L81-? req57 freq4 line1504	greater_m_ass 3-3	Witch-hunter's	ass 2-2	283	exact base-name match
prefix	Greater Witch-hunter's	Greater +# to Assassin Skill Levels	125	tors		early L50-65 req64 freq1 line1535; mid L66-80 req64 freq1 line1536; late L81-? req64 freq2 line1537	greater_m_ass 3-3	Witch-hunter's	ass 2-2	281	exact base-name match
prefix	Greater Witch-hunter's	Greater +# to Assassin Skill Levels	125	h2h		early L50-65 req36 freq1 line1544; mid L66-80 req36 freq3 line1545; late L81-? req36 freq4 line1546	greater_m_ass 3-3	Witch-hunter's	ass 2-2	286	exact base-name match
prefix	Greater Avatar	Greater Adds #-# Fire/Lightning/Cold Damage	137	lcha		early L50-65 req72 freq1 line1634; mid L66-80 req72 freq1 line1635; late L81-? req72 freq1 line1636	greater_dmg-elem 45-45; greater-affix-marker 1-1	Avatar	dmg-elem 20-30	1137	exact base-name match
prefix	Greater Boreal	Greater Cold Length # of Frames (25 Frames = 1 Second) & +# to Minimum Cold Damage & +# to Maximum Cold Damage	137	weap,circ		early L50-65 req34 freq1 line1631; mid L66-80 req34 freq1 line1632; late L81-? req34 freq2 line1633	greater_m_cold-len 98-98; greater_cold-min 30-30; greater_cold-max 117-117	Boreal	cold-len 75-75; cold-min 16-23; cold-max 46-90	409	exact base-name match
prefix	Greater Hibernal	Greater Cold Length # of Frames (25 Frames = 1 Second) & +# to Minimum Cold Damage & +# to Maximum Cold Damage	137	weap		early L50-65 req51 freq1 line1628; mid L66-80 req51 freq1 line1629; late L81-? req51 freq2 line1630	greater_m_cold-len 130-130; greater_cold-min 59-59; greater_cold-max 182-182	Hibernal	cold-len 100-100; cold-min 24-45; cold-max 91-140	411	exact base-name match
prefix	Greater Scorching	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	138	weap		early L50-65 req57 freq1 line1637; mid L66-80 req57 freq1 line1638; late L81-? req57 freq2 line1639	greater_m_fire-min 221-221; greater_fire-max 312-312	Scorching	fire-min 121-170; fire-max 181-240	418	exact base-name match
prefix	Greater Smoking	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	138	weap,circ		early L50-65 req31 freq1 line1646; mid L66-80 req31 freq1 line1647; late L81-? req31 freq2 line1648	greater_m_fire-min 104-104; greater_fire-max 169-169	Smoking	fire-min 51-80; fire-max 91-130	415	exact base-name match
prefix	Greater Buzzing	Greater +# to Minimum Lightning Damage & +# to Maximum Lightning Damage	139	weap,circ		early L50-65 req31 freq1 line1649; mid L66-80 req31 freq1 line1650; late L81-? req31 freq2 line1651	greater_m_ltng-min 2-2; greater_ltng-max 338-338	Buzzing	ltng-min 1-1; ltng-max 181-260	422	exact base-name match
prefix	Greater Shocking	Greater +# to Minimum Lightning Damage & +# to Maximum Lightning Damage	139	weap		early L50-65 req56 freq1 line1640; mid L66-80 req56 freq1 line1641; late L81-? req56 freq2 line1642	greater_m_ltng-min 2-2; greater_ltng-max 624-624	Shocking	ltng-min 1-1; ltng-max 361-480	425	exact base-name match
prefix	Greater Corosive	Greater +# to Minimum Poison Damage & +# to Maximum Poison Damage	140	weap,circ		early L50-65 req13 freq1 line1652; mid L66-80 req13 freq1 line1653; late L81-? req13 freq2 line1654	greater_m_dmg-pois(param=100) 267-267	Corosive	dmg-pois(param=100) 205-205	429	exact base-name match
prefix	Greater Pestilent	Greater +# to Minimum Poison Damage & +# to Maximum Poison Damage	140	weap		early L50-65 req31 freq1 line1643; mid L66-80 req31 freq1 line1644; late L81-? req31 freq2 line1645	greater_m_dmg-pois(param=150) 611-611	Pestilent	dmg-pois(param=150) 470-470	432	exact base-name match
prefix	Greater Divine	Greater +# to Attack Rating against Undead & +#% Damage to Undead	142	weap	wand,orb	early L50-65 req31 freq1 line1655; mid L66-80 req31 freq1 line1656; late L81-? req31 freq2 line1657	greater_m_att-undead 650-650; greater_dmg-undead 500-500	Divine	att-undead 326-450; dmg-undead 276-350	120	exact base-name match
prefix	Greater Pearl	Greater +# to Attack Rating against Undead & +#% Damage to Undead	142	jewl		early L50-65 req11 freq1 line1658; mid L66-80 req11 freq1 line1659; late L81-? req11 freq2 line1660	greater_m_att-undead 650-650; greater_dmg-undead 500-500	Pearl	att-undead 25-50; dmg-undead 25-50	122	exact base-name match
prefix	Greater Hulking	Greater Adds #-# Damage	143	lcha		early L50-65 req72 freq2 line1661; mid L66-80 req72 freq4 line1662; late L81-? req72 freq6 line1663	greater_m_dmg-norm 85-85	Hulking	dmg-norm 40-60	1141	exact base-name match
prefix	Greater Veracious	Greater #% Bonus to Attack Rating	200	weap,glov		early L50-65 req64 freq1 line1664; mid L66-80 req64 freq1 line1665; late L81-? req64 freq2 line1666	greater_m_att% 50-50	Veracious1	att% 25-35	150	fallback: same group/highest overlap
prefix	Greater Devil's	Greater +5 to [Skill] (Warlock only)	201	amul,circ,belt,ring		early L50-65 req64 freq1 line1688; mid L66-80 req64 freq1 line1689; late L81-? req64 freq2 line1690	greater_m_skill-rand(param=6) 462-462	Devil's	skill-rand(param=5) 373-402	1248	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Necromancer only)	201	amul,circ,belt,ring		early L50-65 req64 freq1 line1673; mid L66-80 req64 freq1 line1674; late L81-? req64 freq2 line1675	greater_m_skill-rand(param=6) 109-109	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Paladin only)	201	amul,circ,belt,ring		early L50-65 req64 freq1 line1670; mid L66-80 req64 freq1 line1671; late L81-? req64 freq2 line1672	greater_m_skill-rand(param=6) 144-144	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Barbarian only)	201	amul,circ,belt,ring		early L50-65 req64 freq1 line1679; mid L66-80 req64 freq1 line1680; late L81-? req64 freq2 line1681	greater_m_skill-rand(param=6) 178-178	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Druid only)	201	ring,amul,circ,belt		early L50-65 req64 freq1 line1682; mid L66-80 req64 freq1 line1683; late L81-? req64 freq2 line1684	greater_m_skill-rand(param=6) 288-288	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Assassin only)	201	ring,amul,circ,belt		early L50-65 req64 freq1 line1685; mid L66-80 req64 freq1 line1686; late L81-? req64 freq2 line1687	greater_m_skill-rand(param=6) 322-322	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Amazon only)	201	amul,circ,belt,ring		early L50-65 req64 freq1 line1667; mid L66-80 req64 freq1 line1668; late L81-? req64 freq2 line1669	greater_m_skill-rand(param=6) 40-40	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Gnostics	Greater +5 to [Skill] (Sorceress only)	201	amul,circ,belt,ring		early L50-65 req68 freq1 line1676; mid L66-80 req68 freq1 line1677; late L81-? req68 freq2 line1678	greater_m_skill-rand(param=6) 75-75	Gnostics	skill-rand(param=5) 251-280	405	exact base-name match
prefix	Greater Crushing	Greater #% Chance of Crushing Blow	202	glov		early L50-65 req54 freq1 line1691; mid L66-80 req54 freq3 line1692; late L81-? req54 freq4 line1693	greater_m_crush 30-30	Crushing1	crush 16-20	559	fallback: same group/highest overlap
prefix	Greater Fatal	Greater #% Chance of Deadly Strike	202	glov		early L50-65 req54 freq1 line1694; mid L66-80 req54 freq3 line1695; late L81-? req54 freq4 line1696	greater_m_deadly 30-30	Fatal	deadly 16-20	563	exact base-name match
prefix	Greater Elemental	Greater Adds #-# Fire/Lightning/Cold Damage	203	weap		early L50-65 req65 freq1 line1697; mid L66-80 req65 freq1 line1698; late L81-? req65 freq2 line1699	greater_dmg-elem(param=125) 260-260; greater-affix-marker 1-1	Elemental1	dmg-elem(param=125) 64-200	568	fallback: same group/highest overlap
prefix	Greater Master Sage's	Greater +#% to Experience Gained	204	amul		early L50-65 req69 freq1 line1703; mid L66-80 req69 freq1 line1704; late L81-? req69 freq2 line1705	greater_m_addxp 6-6	Master Sage's	addxp 5-5	576	exact base-name match
prefix	Greater Sage's	Greater +#% to Experience Gained	204	weap,armo,shld,amul,ring		early L1-65 req39 freq2 line1700; mid L66-80 req39 freq4 line1701; late L81-? req39 freq6 line1702	greater_m_addxp 6-6	Sage's	addxp 4-4	574	exact base-name match
prefix	Greater Sage's	Greater +#% to Experience Gained	204	ring,amul,circ		early L50-65 req58 freq1 line1706; mid L66-80 req58 freq3 line1707; late L81-? req58 freq4 line1708	greater_m_addxp 6-6	Sage's	addxp 4-4	574	exact base-name match
prefix	Greater Savage	Greater +# Kick Damage	205	boot		early L50-65 req44 freq1 line1709; mid L66-80 req44 freq3 line1710; late L81-? req44 freq4 line1711	greater_m_kick 13-13	Savage	kick 9-10	583	exact base-name match
prefix	Greater Adamantine-Wrought	Greater +#% Enhanced Defense & Durability: # of #	206	armo,shld		early L50-65 req55 freq1 line1715; mid L66-80 req55 freq3 line1716; late L81-? req55 freq4 line1717	greater_m_ac% 100-100; greater_dur 100-100	Adamantine-Wrought	ac% 51-75; dur 60-75	601	exact base-name match
prefix	Greater Adamantine-Wrought	Greater +#% Enhanced Damage & Durability: # of #	206	weap	orb,wand	early L50-65 req55 freq1 line1712; mid L66-80 req55 freq3 line1713; late L81-? req55 freq4 line1714	greater_m_dmg% 130-130; greater_dur 100-100	Adamantine-Wrought	dmg% 81-100; dur 60-75	592	exact base-name match
prefix	Greater Aureole	Greater Salvation	207	tors		early L50-65 req41 freq1 line1718; mid L66-80 req41 freq1 line1719; late L81-? req41 freq2 line1720	greater_m_aura(param=126) 4-4	Aureole	aura(param=125) 1-3	617	exact base-name match
prefix	Greater Frost Wyrm's	Greater +#% to Cold Skill Damage	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1724; mid L66-80 req47 freq1 line1725; late L81-? req47 freq2 line1726	greater_m_extra-cold 16-16	Frost Wyrm's2	extra-cold 10-12	647	fallback: same group/highest overlap
prefix	Greater Frost Wyrm's	Greater +#% to Cold Skill Damage	209	wand,orb,staf		early L50-65 req65 freq1 line1736; mid L66-80 req65 freq1 line1737; late L81-? req65 freq2 line1738	greater_m_extra-cold 16-16	Frost Wyrm's2	extra-cold 10-12	647	fallback: same group/highest overlap
prefix	Greater Frost Wyrm's	Greater -#% to Enemy Cold Resistance	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1748; mid L66-80 req47 freq1 line1749; late L81-? req47 freq2 line1750	greater_m_pierce-cold 16-16	Frost Wyrm's2	pierce-cold 10-12	627	fallback: same group/highest overlap
prefix	Greater Frost Wyrm's	Greater -#% to Enemy Cold Resistance	209	wand,orb,staf		early L50-65 req65 freq1 line1760; mid L66-80 req65 freq1 line1761; late L81-? req65 freq2 line1762	greater_m_pierce-cold 16-16	Frost Wyrm's2	pierce-cold 10-12	627	fallback: same group/highest overlap
prefix	Greater Manticore's	Greater +#% to Poison Skill Damage	209	wand,staf,helm		early L50-65 req47 freq1 line1730; mid L66-80 req47 freq1 line1731; late L81-? req47 freq2 line1732	greater_m_extra-pois 16-16	Manticore's2	extra-pois 10-12	657	fallback: same group/highest overlap
prefix	Greater Manticore's	Greater +#% to Poison Skill Damage	209	wand,staf		early L50-65 req65 freq1 line1742; mid L66-80 req65 freq1 line1743; late L81-? req65 freq2 line1744	greater_m_extra-pois 16-16	Manticore's2	extra-pois 10-12	657	fallback: same group/highest overlap
prefix	Greater Manticore's	Greater -#% to Enemy Poison Resistance	209	wand,staf,helm		early L50-65 req47 freq1 line1754; mid L66-80 req47 freq1 line1755; late L81-? req47 freq2 line1756	greater_m_pierce-pois 16-16	Manticore's2	pierce-pois 10-12	637	fallback: same group/highest overlap
prefix	Greater Manticore's	Greater -#% to Enemy Poison Resistance	209	wand,staf		early L50-65 req65 freq1 line1766; mid L66-80 req65 freq1 line1767; late L81-? req65 freq2 line1768	greater_m_pierce-pois 16-16	Manticore's2	pierce-pois 10-12	637	fallback: same group/highest overlap
prefix	Greater Pyromaniac's	Greater +#% to Fire Skill Damage	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1721; mid L66-80 req47 freq1 line1722; late L81-? req47 freq2 line1723	greater_m_extra-fire 16-16	Pyromaniac's2	extra-fire 10-12	642	fallback: same group/highest overlap
prefix	Greater Pyromaniac's	Greater +#% to Fire Skill Damage	209	wand,orb,staf		early L50-65 req65 freq1 line1733; mid L66-80 req65 freq1 line1734; late L81-? req65 freq2 line1735	greater_m_extra-fire 16-16	Pyromaniac's2	extra-fire 10-12	642	fallback: same group/highest overlap
prefix	Greater Pyromaniac's	Greater -#% to Enemy Fire Resistance	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1745; mid L66-80 req47 freq1 line1746; late L81-? req47 freq2 line1747	greater_m_pierce-fire 16-16	Pyromaniac's2	pierce-fire 10-12	622	fallback: same group/highest overlap
prefix	Greater Pyromaniac's	Greater -#% to Enemy Fire Resistance	209	wand,orb,staf		early L50-65 req65 freq1 line1757; mid L66-80 req65 freq1 line1758; late L81-? req65 freq2 line1759	greater_m_pierce-fire 16-16	Pyromaniac's2	pierce-fire 10-12	622	fallback: same group/highest overlap
prefix	Greater Zeus's	Greater +#% to Lightning Skill Damage	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1727; mid L66-80 req47 freq1 line1728; late L81-? req47 freq2 line1729	greater_m_extra-ltng 16-16	Zeus's2	extra-ltng 10-12	652	fallback: same group/highest overlap
prefix	Greater Zeus's	Greater +#% to Lightning Skill Damage	209	wand,orb,staf		early L50-65 req65 freq1 line1739; mid L66-80 req65 freq1 line1740; late L81-? req65 freq2 line1741	greater_m_extra-ltng 16-16	Zeus's2	extra-ltng 10-12	652	fallback: same group/highest overlap
prefix	Greater Zeus's	Greater -#% to Enemy Lightning Resistance	209	wand,orb,staf,helm		early L50-65 req47 freq1 line1751; mid L66-80 req47 freq1 line1752; late L81-? req47 freq2 line1753	greater_m_pierce-ltng 16-16	Zeus's2	pierce-ltng 10-12	632	fallback: same group/highest overlap
prefix	Greater Zeus's	Greater -#% to Enemy Lightning Resistance	209	wand,orb,staf		early L50-65 req65 freq1 line1763; mid L66-80 req65 freq1 line1764; late L81-? req65 freq2 line1765	greater_m_pierce-ltng 16-16	Zeus's2	pierce-ltng 10-12	632	fallback: same group/highest overlap
prefix	Greater Lizard's	Greater +# to Mana	220	misl		early L50-65 req43 freq1 line1772; mid L66-80 req43 freq2 line1773; late L81-? req43 freq3 line1774	greater_m_mana 52-52	Lizard's	mana 30-40	1256	exact base-name match
prefix	Greater Sturdy	Greater +# to Life	220	misl		early L50-65 req43 freq1 line1769; mid L66-80 req43 freq2 line1770; late L81-? req43 freq3 line1771	greater_m_hp 52-52	Sturdy	hp 30-40	1252	exact base-name match
prefix	Greater Sharp	Greater +# to Attack Rating	221	misl		early L50-65 req43 freq1 line1775; mid L66-80 req43 freq2 line1776; late L81-? req43 freq3 line1777	greater_m_att 130-130	Sharp	att 50-100	1260	exact base-name match
prefix	Greater Jagged	Greater +#% Enhanced Damage	222	misl		early L50-65 req51 freq1 line1778; mid L66-80 req51 freq2 line1779; late L81-? req51 freq3 line1780	greater_m_dmg% 65-65	Jagged	dmg% 30-50	1264	exact base-name match
prefix	Greater Jagged	Greater +# to Minimum Damage & +# to Maximum Damage	222	misl		early L50-65 req51 freq1 line1781; mid L66-80 req51 freq2 line1782; late L81-? req51 freq3 line1783	greater_m_dmg-min 26-26; greater_dmg-max 39-39	Jagged	dmg-min 10-20; dmg-max 20-30	1268	exact base-name match
prefix	Greater Flaming	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	223	misl		early L50-65 req51 freq1 line1784; mid L66-80 req51 freq2 line1785; late L81-? req51 freq3 line1786	greater_m_fire-min 26-26; greater_fire-max 39-39	Flaming	fire-min 10-20; fire-max 20-30	1272	exact base-name match
prefix	Greater Shivering	Greater +# to Minimum Cold Damage & +# to Maximum Cold Damage	224	misl		early L50-65 req51 freq1 line1787; mid L66-80 req51 freq2 line1788; late L81-? req51 freq3 line1789	greater_m_cold-min 26-26; greater_cold-max 39-39	Shivering	cold-min 10-20; cold-max 20-30	1276	exact base-name match
prefix	Greater Static	Greater +# to Minimum Lightning Damage & +# to Maximum Lightning Damage	225	misl		early L50-65 req51 freq1 line1790; mid L66-80 req51 freq2 line1791; late L81-? req51 freq3 line1792	greater_m_ltng-min 13-13; greater_ltng-max 65-65	Static	ltng-min 5-10; ltng-max 30-50	1280	exact base-name match
prefix	Greater Corosive	Greater +# to Minimum Poison Damage & +# to Maximum Poison Damage	226	misl		early L50-65 req51 freq1 line1793; mid L66-80 req51 freq2 line1794; late L81-? req51 freq3 line1795	greater_m_dmg-pois(param=100) 780-780	Corosive	dmg-pois(param=100) 300-600	1284	exact base-name match
prefix	Greater Apprentice	Greater +# to Minimum Magic Damage & +# to Maximum Magic Damage	227	misl		early L50-65 req51 freq1 line1796; mid L66-80 req51 freq2 line1797; late L81-? req51 freq3 line1798	greater_m_dmg-mag 26-26	Apprentice	dmg-mag 10-20	1288	exact base-name match
suffix	of Greater Anima	Greater Damage Reduced by #	1	tors,shld,circ		early L50-65 req37 freq16 line961; mid L66-80 req37 freq32 line962; late L81-? req37 freq48 line963	greater_m_red-dmg 24-24	of Anima	red-dmg 8-15	170	exact base-name match
suffix	of Greater Life	Greater Damage Reduced by #	1	amul,circ,ring		early L50-65 req22 freq16 line964; mid L66-80 req22 freq32 line965; late L81-? req22 freq48 line966	greater_m_red-dmg 24-24	of Life	red-dmg 6-10	163	exact base-name match
suffix	of Greater Life Everlasting	Greater Damage Reduced by #	1	amul,circ		early L50-65 req31 freq16 line958; mid L66-80 req31 freq32 line959; late L81-? req31 freq48 line960	greater_m_red-dmg 24-24	of Life Everlasting	red-dmg 10-25	165	exact base-name match
suffix	of Greater Guarding	Greater Magic Resist +#%	2	amul,orb,circ,tors,shld		early L50-65 req45 freq16 line967; mid L66-80 req45 freq32 line968; late L81-? req45 freq48 line969	greater_m_res-mag 30-30	of Guarding	res-mag 10-13	183	exact base-name match
suffix	of Greater Negation	Greater Magic Damage Reduced by #	2	amul,orb,circ,ring		early L50-65 req30 freq16 line973; mid L66-80 req30 freq32 line974; late L81-? req30 freq48 line975	greater_m_red-mag 10-10	of Negation	red-mag 7-8	175	exact base-name match
suffix	of Greater Negation	Greater Magic Resist +#%	2	shld,orb,circ,tors		early L50-65 req61 freq16 line970; mid L66-80 req61 freq32 line971; late L81-? req61 freq48 line972	greater_m_res-mag 30-30	of Negation	res-mag 14-20	185	exact base-name match
suffix	of the Greater Sentinel	Greater Magic Resist +#%	2	ring,amul,orb,circ,tors,shld		early L1-65 req26 freq16 line976; mid L66-80 req26 freq32 line977; late L81-? req26 freq48 line978	greater_m_res-mag 30-30	of the Sentinel	res-mag 6-9	181	exact base-name match
suffix	of Greater Chilling Coalescence1	Greater +# Cold Absorb	3	weap,amul,ring,shld		early L50-65 req68 freq4 line985; mid L66-80 req68 freq8 line986; late L81-? req68 freq12 line987	greater_m_abs-cold% 35-35	of Chilling Coalescence1	abs-cold% 16-25	227	exact base-name match
suffix	of Greater Fire Coalescence1	Greater +# Fire Absorb	3	weap,amul,ring,shld		early L50-65 req68 freq4 line979; mid L66-80 req68 freq8 line980; late L81-? req68 freq12 line981	greater_m_abs-fire% 35-35	of Fire Coalescence1	abs-fire% 16-25	199	exact base-name match
suffix	of Greater Lightning Coalescence1	Greater +# Lightning Absorb	3	weap,amul,ring,shld		early L50-65 req68 freq4 line982; mid L66-80 req68 freq8 line983; late L81-? req68 freq12 line984	greater_m_abs-ltng% 35-35	of Lightning Coalescence1	abs-ltng% 16-25	213	exact base-name match
suffix	of Greater Malice	Greater Attacker Takes Damage of #	6	jewl		early L50-65 req41 freq16 line994; mid L66-80 req41 freq32 line995; late L81-? req41 freq48 line996	greater_m_thorns 20-20	of Malice	thorns 8-15	440	exact base-name match
suffix	of Greater Swords	Greater Attacker Takes Damage of #	6	tors,shld,circ,belt		early L50-65 req47 freq8 line991; mid L66-80 req47 freq16 line992; late L81-? req47 freq24 line993	greater_m_thorns 65-65	of Swords	thorns 41-50	438	exact base-name match
suffix	of Greater Thorns	Greater Attacker Takes Damage of # (Based on Character Level)	6	tors,shld		early L50-65 req53 freq16 line988; mid L66-80 req53 freq32 line989; late L81-? req53 freq48 line990	greater_m_thorns/lvl(param=16)	of Thorns	thorns/lvl(param=12)	433	exact base-name match
suffix	of Greater Alacrity	Greater +#% Increased Attack Speed	7	weap	wand,orb	early L50-65 req14 freq24 line997; mid L66-80 req14 freq48 line998; late L81-? req14 freq72 line999	greater_m_swing2 26-26	of Alacrity	swing2 20-20	417	exact base-name match
suffix	of Greater Alacrity	Greater +#% Increased Attack Speed	7	glov		early L50-65 req30 freq16 line1006; mid L66-80 req30 freq32 line1007; late L81-? req30 freq48 line1008	greater_m_swing2 26-26	of Alacrity	swing2 20-20	422	exact base-name match
suffix	of Greater Fervor	Greater +#% Increased Attack Speed	7	jewl		early L50-65 req26 freq16 line1003; mid L66-80 req26 freq32 line1004; late L81-? req26 freq48 line1005	greater_m_swing1 20-20	of Fervor	swing1 15-15	426	exact base-name match
suffix	of Greater Quickness	Greater +#% Increased Attack Speed	7	mele	wand,staf,orb	early L50-65 req32 freq20 line1000; mid L66-80 req32 freq40 line1001; late L81-? req32 freq60 line1002	greater_m_swing3 50-50	of Quickness	swing3 40-40	420	exact base-name match
suffix	of Greater Deflecting	Greater #% Increased Chance of Blocking	8	shld		early L50-65 req7 freq25 line1009; mid L66-80 req7 freq51 line1010; late L81-? req7 freq76 line1011	greater_m_block 40-40; greater_block2 40-40	of Deflecting	block 20-30; block2 30-30	477	exact base-name match
suffix	of the Greater Apprentice	Greater +#% Faster Cast Rate	9	rod,ring,amul,orb,circ		early L50-65 req3 freq24 line1012; mid L66-80 req3 freq48 line1013; late L81-? req3 freq72 line1014	greater_m_cast1 13-13	of the Apprentice	cast1 10-10	479	exact base-name match
suffix	of the Greater Magus	Greater +#% Faster Cast Rate	9	rod,orb,circ	scep	early L50-65 req18 freq20 line1015; mid L66-80 req18 freq40 line1016; late L81-? req18 freq60 line1017	greater_m_cast3 25-25	of the Magus	cast3 20-20	481	exact base-name match
suffix	of Greater Anthrax	Greater +# to Minimum Poison Damage & +# to Maximum Poison Damage	10	lcha		early L50-65 req69 freq2 line1063; mid L66-80 req69 freq4 line1064; late L81-? req69 freq6 line1065	greater_m_dmg-pois(param=125) 182-182	of Anthrax	dmg-pois(param=125) 120-140	831	exact base-name match
suffix	of Greater Incineration	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	10	lcha		early L50-65 req69 freq2 line1057; mid L66-80 req69 freq4 line1058; late L81-? req69 freq6 line1059	greater_m_fire-min 20-20; greater_fire-max 33-33	of Incineration	fire-min 10-15; fire-max 20-25	821	exact base-name match
suffix	of Greater Storms	Greater +# to Minimum Lightning Damage & +# to Maximum Lightning Damage	10	lcha		early L50-65 req69 freq2 line1060; mid L66-80 req69 freq4 line1061; late L81-? req69 freq6 line1062	greater_m_ltng-min 20-20; greater_ltng-max 33-33	of Storms	ltng-min 10-15; ltng-max 20-25	826	exact base-name match
suffix	of Greater Winter	Greater +# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	10	lcha		early L50-65 req69 freq2 line1054; mid L66-80 req69 freq4 line1055; late L81-? req69 freq6 line1056	greater_m_cold-min 18-18; greater_cold-max 33-33	of Winter	cold-min 12-14; cold-max 20-25	816	exact base-name match
suffix	of Greater Winter	Greater +# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	10	weap	wand,orb	early L50-65 req64 freq4 line1018; mid L66-80 req64 freq8 line1019; late L81-? req64 freq12 line1020	greater_m_cold-min 59-59; greater_cold-max 195-195; greater_cold-len 195-195	of Winter	cold-min 35-45; cold-max 100-150; cold-len 150-150	64	exact base-name match
suffix	of the Greater Glacier	Greater +# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	10	jewl		early L50-65 req43 freq8 line1042; mid L66-80 req43 freq16 line1043; late L81-? req43 freq24 line1044	greater_m_cold-min 7-7; greater_cold-max 20-20; greater_cold-len 130-130	of the Glacier	cold-min 4-5; cold-max 11-15; cold-len 100-100	73	exact base-name match
suffix	of the Greater Glacier	Greater +# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	10	belt,amul		early L50-65 req69 freq8 line1030; mid L66-80 req69 freq16 line1031; late L81-? req69 freq24 line1032	greater_m_cold-min 7-7; greater_cold-max 33-33; greater_cold-len 195-195	of the Glacier	cold-min 4-5; cold-max 16-25; cold-len 150-150	69	exact base-name match
suffix	of Greater Burning	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	12	glov,ring,amul		early L50-65 req63 freq8 line1033; mid L66-80 req63 freq16 line1034; late L81-? req63 freq24 line1035	greater_m_fire-min 33-33; greater_fire-max 65-65	of Burning	fire-min 11-25; fire-max 31-50	85	exact base-name match
suffix	of Greater Burning	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	12	jewl		early L50-65 req42 freq8 line1045; mid L66-80 req42 freq16 line1046; late L81-? req42 freq24 line1047	greater_m_fire-min 33-33; greater_fire-max 65-65	of Burning	fire-min 11-25; fire-max 31-50	89	exact base-name match
suffix	of Greater Incineration	Greater +# to Minimum Fire Damage & +# to Maximum Fire Damage	12	weap	wand,orb	early L50-65 req64 freq4 line1021; mid L66-80 req64 freq8 line1022; late L81-? req64 freq12 line1023	greater_m_fire-min 130-130; greater_fire-max 325-325	of Incineration	fire-min 75-100; fire-max 200-250	80	exact base-name match
suffix	of Greater Storms	Greater +# to Minimum Lightning Damage & +# to Maximum Lightning Damage	13	boot,ring,amul		early L50-65 req68 freq8 line1036; mid L66-80 req68 freq16 line1037; late L81-? req68 freq24 line1038	greater_m_ltng-min 2-2; greater_ltng-max 130-130	of Storms	ltng-min 1-1; ltng-max 76-100	101	exact base-name match
