code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
deadly/time	231	1	18	item_deadlystrike_bytime																												#% Deadly Strike (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used	0
gems%/time	232																																				0
pierce-fire	233	1	1	passive_fire_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	234	1	1	passive_ltng_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-cold	235	1	1	passive_cold_pierce																												-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-pois	236	1	1	passive_pois_pierce																												-#% to Enemy Poison Resistance		Min %	Max %		0
dmg-mon	237																																				0
dmg%-mon	238																																				0
att-mon	239																																				0
att%-mon	240																																				0
ac-mon	241																																				0
ac%-mon	242																																				0
indestruct	243	1	20																													Indestructible		1	1		0
charged	244	1	19	item_charged_skill																												Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
extra-fire	245	1	1	passive_fire_mastery																												+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	246	1	1	passive_ltng_mastery																												+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	247	1	1	passive_cold_mastery																												+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	248	1	1	passive_pois_mastery																												+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	249	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength				Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	250	1	1	firemindam			3	lightmindam			3	coldmindam																				+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	251	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength																+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	252	1	1	strength			3	energy			3	dexterity			3	vitality																+# to all Attributes		Min #	Max #		0
addxp	253	1	1	item_addexperience																												+#% to Experience Gained		Min %	Max %		0
heal-kill	254	1	1	item_healafterkill																												+# Life after each Kill		Min #	Max #		0
cheap	255	1	1	item_reducedprices																												Reduces all Vendor Prices #%		Min %	Max %		0
rip	256	1	1	item_restinpeace																												Slain Monsters Rest in Peace		1	1		0
att-mon%	257	1	24	attack_vs_montype																												#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	258	1	24	damage_vs_montype																												#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	259	1	11	item_skillonkill																											6	#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	% Chance (If 0, then default to 5)	Skill Level		0
death-skill	260	1	11	item_skillondeath																											6	#% Chance to cast level # [Skill] when you Die	Skill	% Chance (If 0, then default to 5)	Skill Level		0
levelup-skill	261	1	11	item_skillonlevelup																											6	#% Chance to cast level # [Skill] when you Level-Up	Skill	% Chance (If 0, then default to 5)	Skill Level		0
skill-rand	262	1	12	item_singleskill																											2	+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	263	1	17	fade																														Min #	Max #	Visuals Only	0
levelreq	264	1	1	item_levelreq																												Required Level: #		Min #	Max #		0
ethereal	265	1	23																													Ethereal		1	1		0
oskill	266	1	22	item_nonclassskill_display			24	item_nonclassskill																								+# to [Skill]	Skill	Min #	Max #		0
state	267	1	24	state																													State	1	1	Applies a State on the unit	0
randclassskill	268	1	12	item_addclassskills																												+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
noconsume	269		1	item_noconsume																												+# to not Consume Quantity		Min %	Max %		0
pierce-immunity-cold	270	1	1	item_pierce_cold_immunity																												Monster Cold Immunity is Sundered		Min %	Max %		0
pierce-immunity-fire	271	1	1	item_pierce_fire_immunity																												Monster Fire Immunity is Sundered		Min %	Max %		0
pierce-immunity-light	272	1	1	item_pierce_light_immunity																												Monster Lightning Immunity is Sundered		Min %	Max %		0
pierce-immunity-poison	273	1	1	item_pierce_poison_immunity																												Monster Poison Immunity is Sundered		Min %	Max %		0
pierce-immunity-damage	274	1	1	item_pierce_damage_immunity																												Monster Physical Immunity is Sundered		Min %	Max %		0
pierce-immunity-magic	275	1	1	item_pierce_magic_immunity																												Monster Magic Immunity is Sundered		Min %	Max %		0
charge-noconsume	276	1	1	item_charge_noconsume																												+#% chance for finishing moves to not consume charges		Min %	Max %		0
war	277	1	21	item_addclassskills		7																										+# to Warlock Skill Levels		Min #	Max #		0
dmg-mag/lvl	278	1	17	item_magic_damagemax_perlevel																												+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
pierce-mag	279	1	1	passive_mag_pierce																												-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-dmg	280	1	1	passive_dmg_pierce																												-#% to Enemy Lightning Resistance		Min %	Max %		0
affix-rand	281	1	25																													Add random affix from property	Index of property to use	Min Value for affix	Max Value for affix		0
extra-skill-dmg%-rand	282	1	1	passive_fire_mastery			1	passive_ltng_mastery			1	passive_cold_mastery			1	passive_pois_mastery			1	passive_mag_mastery			7	dmg%								used to with affix-rand to roll a random stat					0
war-tab-rand	283	1	10	item_addskill_tab		21	10	item_addskill_tab		22	10	item_addskill_tab		23																							0
extra-mag	284	1	1	passive_mag_mastery																												+#% to Magic Skill Damage		Min %	Max %		0
str%	285	1	1	item_strength_percent																																	0
dex%	286	1	1	item_dexterity_percent																																	0
vit%	287	1	1	item_vitality_percent																																	0
enr%	288	1	1	item_energy_percent																																	0
str%/lvl	289	1	17	item_strengthpercent_perlevel																												Strength per Player Level	(8ths)			none	0
dex%/lvl	290	1	17	item_dexteritypercent_perlevel																												Dexterity per Player Level	(8ths)			none	0
enr%/lvl	291	1	17	item_energypercent_perlevel																												Energy per Player Level	(8ths)			none	0
vit%/lvl	292	1	17	item_vitalitypercent_perlevel																												Vitality per Player Level	(8ths)			none	0
thorns-blind	293	1	11	item_attackergetsblind																												attacker gets blinded		min	max	armour only	0
thorns-flee	294	1	11	item_attackerflees																												attacker runs away		min	max	armour only	0
fire-thorns	295	1	1	item_attackertakesfiredamage																																	0
cold-thorns	296	1	1	item_attackertakescolddamage																											6						0
dmg-max/str	297	1	17	item_maxdamage_perstr																											6		(8ths)				0
dmg-max/dex	298	1	17	item_maxdamage_perdex																											6		(8ths)				0
dmg-min/lvl	299	1	17	item_mindamage_perlvl																											2		(8ths)				0
dmg-min/str	300	1	17	item_mindamage_perstr																													(8ths)				0
dmg-min/dex	301	1	17	item_mindamage_perdex																													(8ths)				0
dmg-max%/str	302	1	17	item_maxdamage_percent_perstr																													(8ths)				0
dmg-max%/dex	303	1	17	item_maxdamage_percent_perdex																													(8ths)				0
wounds/dex	304	1	17	item_openwounds_perdex			1	item_extrablood																									(8ths)				0
deadly/dex	305	1	17	item_deadlystrike_perdex																											3		(8ths)				0
wounds/str	306	1	17	item_openwounds_perstr			1	item_extrablood																									(8ths)				0
deadly/str	307	1	17	item_deadlystrike_perstr																													(8ths)				0
ac/str	308	1	17	item_armor_perstr																												armour per strength	(8ths)			armour only	0
ac/dex	309	1	17	item_armor_perdex																												armour class per dex	(8ths)	min	max	armour only	0
att/str	310	1	17	item_tohit_perstr																												to hit per dex	(8ths)	min	max	weap only	0
att/dex	311	1	17	item_tohit_perDex																												to hit per dex	(8ths)	min	max	weap only	0
hp/vit	312	1	17	item_hp_pervitality																													(8ths)				0
mana/enr	313	1	17	item_mana_perenr																													(8ths)				0
cast/enr	314	1	17	item_fastercastrate_perenr																													(8ths)				0
block/dex	315	1	17	item_fasterblockrate_perdex																													(8ths)				0
move/vit	316	1	17	item_fastermovevelocity_pervitality																													(8ths)				0
swing/str	317	1	17	item_fasterswingvelocity_perstrength																													(8ths)				0
dmg-min%/str	318	1	17	item_mindamage_percent_perstr																													(8ths)				0
dmg-min%/dex	319	1	17	item_mindamage_percent_perdex																													(8ths)				0
dmg-min%/lvl	320	1	17	item_mindamage_percent_perlvl																													(8ths)				0
crush/str	321	1	17	item_crushingblow_perstr																												+% Chance of Crushing Blow per Player Level	(8ths)			none	0
crush/dex	322	1	17	item_crushingblow_perdex																												+% Chance of Crushing Blow per Player Level	(8ths)			none	0
coldskill	323	1	21	item_elemskill		4	3	item_elemskillcold																												none	0
lightningskill	324	1	21	item_elemskill		2	3	item_elemskilllight																												none	0
poisonskill	325	1	21	item_elemskill		5	3	item_elemskillpoison																												none	0
magicskill	326	1	21	item_elemskill		3	3	item_elemskillmagic																												none	0
ac%/str	327	1	17	item_armorpercent_perstr																												AC% per Player Level	ac%/lvl (8ths)			none	0
ac%/dex	328	1	17	item_armorpercent_perdex																												AC% per Player Level	ac%/lvl (8ths)			none	0
att%/str	329	1	17	item_tohitpercent_perstr																												Attack% per Player Level	att%/lvl (8ths)			none	0
att%/dex	330	1	17	item_tohitpercent_perdex																												Attack% per Player Level	att%/lvl (8ths)			none	0
swing/dex	331	1	17	item_fasterswingvelocity_perdex																													(8ths)				0
swing/lvl	332	1	17	item_fasterswingvelocity_perlvl																													(8ths)				0
block/str	333	1	17	item_fasterblockrate_perstr																													(8ths)				0
block/lvl	334	1	17	item_fasterblockrate_perlvl																													(8ths)				0
move/dex	335	1	17	item_fastermovevelocity_perdex																													(8ths)				0
move/lvl	336	1	17	item_fastermovevelocity_perlvl																													(8ths)				0
cast/lvl	337	1	17	item_fastercastrate_perlvl																													(8ths)				0
balance/vit	338	1	17	item_fasterhitrecovery_pervit																													(8ths)				0
balance/lvl	339	1	17	item_fasterhitrecovery_perlvl																													(8ths)				0
block%/dex	340	1	17	item_increasedblock_perdex																													(8ths)				0
block%/lvl	341	1	17	item_increasedblock_perlvl																													(8ths)				0
addxp/lvl	342	1	17	item_addexperience_perlvl																												additional xp gain					0
addxp/enr	343	1	17	item_addexperience_perenr																												additional xp gain					0
cheap/lvl	344	1	17	item_reducedprices_perlvl																												reduces vendor prices		min	max	none	0
pierce/lvl	345	1	17	item_pierce_perlvl																																none	0
pierce/str	346	1	17	item_pierce_perstr																																none	0
all-zero-display	347	1	1	resmax_display_all_zero																																	0
res-all-hidden	348	1	1	magicresist_hidden			3	fireresist_hidden			3	lightresist_hidden			3	coldresist_hidden			3	poisonresist_hidden			3	hiddenresist_dummy													0
res-all-max-hidden	349	1	1	maxmagicresist_hidden			3	maxfireresist_hidden			3	maxlightresist_hidden			3	maxcoldresist_hidden			3	maxpoisonresist_hidden			3	hiddenresist_dummy													0
res-all-max%	350	1	1	maxmagres_percent			3	maxfireres_percent			3	maxlightres_percent			3	maxcoldres_percent			3	maxpoisres_percent																	0
res-all/lvl	351	1	17	item_resist_cold_perlevel			3	item_resist_ltng_perlevel			3	item_resist_fire_perlevel			3	item_resist_pois_perlevel																				none	0
slow/lvl	352	1	17	item_slow_perlvl																																none	0
kick/str	353	1	17	item_kick_damage_perstr																												Kick Damage per Player Level	(8ths)			none	0
kick/dex	354	1	17	item_kick_damage_perdex																												Kick Damage per Player Level	(8ths)			none	0
red-dmg%/lvl	355	1	17	damageresist_perlvl																																none	0
red-dmg%/vit	356	1	17	damageresist_pervit																																none	0
red-mag/lvl	357	1	17	magic_damage_reduction_perlvl																																none	0
red-mag/enr	358	1	17	magic_damage_reduction_perenr																																none	0
res-mag%/lvl	359	1	17	magicresist_perlvl																																none	0
res-mag%/enr	360	1	17	magicresist_perenr																																none	0
stupidity/lvl	361	1	17	item_stupidity_perlvl																																none	0
freeze/lvl	362	1	17	item_freeze_perlvl																													chance in 128	length in frames		none	0
freeze/enr	363	1	17	item_freeze_perenr																													chance in 128	length in frames		none	0
res-pois-len/lvl	364	1	17	item_poisonlengthresist_perlvl																																none	0
res-pois-len/vit	365	1	17	item_poisonlengthresist_pervit																																none	0
res-curse/lvl	366	1	17	curse_resistance_perlvl																																	0
res-curse/enr	367	1	17	curse_resistance_perenr																																	0
res-curse-len	368	1	1	curse_resistance_length			1	curse_resistance																													0
mana-kill/lvl	369	1	17	item_manaafterkill_perlvl																																none	0
mana-kill/enr	370	1	17	item_manaafterkill_perenr																																none	0
balance/dex	371	1	17	item_fasterhitrecovery_perdex																													(8ths)				0
splash	372	1	11	item_splashonhit																												splash	proc_SplashDamage	100	1		0
dmg2%	373	1	15	pl_mindamage_percent			16	pl_maxdamage_percent																								Adds #-# Damage		Min #	Max #		0
regen2	374	1	17	hpregen_perlevel																												Replenish Life Plus #% (Based on Character Level)	# per Level				0
corrupted	375	1	1	item_corrupted																														1	1	none	0
corruptedDummy	376	1	1	item_corruptedDummy																														1	1	none	0
healperhit	377	1	1	heal_afterhit																												Life gained after each hit				none	0
stacked/terror-key	378	1	17	stacked_terror_key																												# Terror Keys				Used to determined stack size of keys in keychain	0
stacked/hate-key	379	1	17	stacked_hate_key																												# Hate Keys				Used to determined stack size of keys in keychain	0
stacked/destruction-key	380	1	17	stacked_destruction_key																												# Destuction Keys				Used to determined stack size of keys in keychain	0
stacked/gem/topaz	381	0	17	stacked_gem_topaz																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/amethyst	382	0	17	stacked_gem_amethyst																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/sapphire	383	0	17	stacked_gem_sapphire																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/diamond	384	0	17	stacked_gem_diamond																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/emerald	385	0	17	stacked_gem_emerald																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/ruby	386	0	17	stacked_gem_ruby																												# Gems				Used to determined stack size of perfect gems in storage	0
stacked/gem/skull	387	0	17	stacked_gem_skull																												# Gems				Used to determined stack size of perfect gems in storage	0
extra_bonespears	388	1	1	extra_bonespears																												+# Bone Spear Projectiles		1	1	none	0
item-qty	389	1	17	quantity																																	0
splashtwo	390	1	11	item_splashonhit_two																												splashtwo	proc_SplashDamage_Two	100	1		0
splashthree	391	1	11	item_splashonhit_three																												splashthree	proc_SplashDamage_Three	100	1		0
splashfour	392	1	11	item_splashonhit_four																												splashfour	proc_SplashDamage_Four	100	1		0
extra_holybolt	393	1	1	extra_holybolt																												+# Holy Bolt Projectiles		1	1	none	0
splashfive	394	1	11	item_splashonhit_five																												splashfive	proc_SplashDamage_Five	100	1		0
prop_mon_move	395	1	1	velocitypercent																												+#% Faster Run/Walk		Min %	Max %		0
charm-property	396	1	1	charm_weight																												Charm Weight: #		Min #	Max #		0
stacked/gem	397	1	17	stacked_gem																												# Gems				Used to determined stack size of gems in storage	0
oskill_hide	398	1	22	item_nonclassskill																												+# to [Skill]		Min #	Max #		0
ravensetwolf	399	1	1	ravensetwolf																												+ Max Ravens, - Max Wolves		1	1	Increased Max Ravens, decreased Max Wolves	0
ravendmg	400	1	1	ravendmg																												+50% Increase Raven Dmg		1	1	+50% to Raven DMG	0
ravenhits	401	1	1	ravenhits																												increases max raven hits		1	10	increases max raven hits	0
flat-dmg/lvl	402	1	17	item_mindamage_perlvl			17	item_maxdamage_perlevel																								+Min/Max Dmg Flat Per Level	(8ths)				0
upgrade/minor	403	1	17	upgrade_minor																										# Upgrades				0	2	Used to determine number of upgrades on certain items	0
upgrade/medium	404	1	17	upgrade_medium																										# Upgrades				0	3	Used to determine number of upgrades on certain items	0
upgrade/major	405	1	17	upgrade_major																										# Upgrades				0	5	Used to determine number of upgrades on certain items	0
upgrade/uber	406	1	17	upgrade_uber																										# Upgrades				0	10	Used to determine number of upgrades on certain items	0
ubertorch-property	407	1	1	torch_weight																												Uber Charm Weight: #		Min #	Max #	May only carry one Torch at a time	0
uberstone-property	408	1	1	soulstone_weight																												Uber Charm Weight: #		Min #	Max #	May only carry one Soulstone at a time	0
tab-rand	409	1	12	item_addskill_tab																												+# random class skill tab	Level	min Skill #	max Skill #		0
extra-elem	410	1	1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_pois_mastery																+# % All Elemental Damage		Min %	Max %		0
pierce-elem	411	1	1	passive_fire_pierce			3	passive_ltng_pierce			3	passive_cold_pierce			3	passive_pois_pierce																-# % Enemy Elemental Resistances		Min%	Max %		0
Dye-White	412	1	17	Dye_White																																	0
Dye-Black	413	1	17	Dye_Black																																	0
Dye-Blue	414	1	17	Dye_Blue																																	0
Dye-Red	415	1	17	Dye_Red																																	0
Dye-Green	416	1	17	Dye_Green																																	0
Dye-Yellow	417	1	17	Dye_Yellow																																	0
Dye-Purple	418	1	17	Dye_Purple																																	0
Dye-Orange	419	1	17	Dye_Orange																																	0
Dye-Tracker	420	1	17	Dye_Tracker																																	0
dmg3%	421	1	15	pl_minthrowdmg_percent			16	pl_maxthrowdmg_percent																								+#% Extra Throwing Weapon Damage		-100	411		0
upgrade/uberCharmSmall	422	1	17	upgrade_uber_charm_small																										# Upgrades				0	5	Used to determine number of upgrades on certain items	0
upgrade/uberCharmLarge	423	1	17	upgrade_uber_charm_large																										# Upgrades				0	10	Used to determine number of upgrades on certain items	0
extra_traps	424	1	1	extra_traps																												+# to max traps		min	max	none	0
extra_shadow_masters	425	1	1	extra_shadow_masters																												+# to Max Shadow Masters		min	max	none	0
extra_ravens	426	1	1	extra_ravens																												+# to Max Ravens		min	max	none	0
extra_spirit_wolves	427	1	1	extra_spirit_wolves																												+# to Max Spirit Wolves		min	max	none	0
extra_dire_wolves	428	1	1	extra_dire_wolves																												+# to Max Dire Wolves		min	max	none	0
extra_firegolems	429	1	1	extra_firegolems																												+# to Max Fire Golems		min	max	none	0
extra_skelewarriors	430	1	1	extra_skelewarriors																												+# to Max Skeleton Warriors		min	max	none	0
extra_skelemages	431	1	1	extra_skelemages																												+# to Max Skeletal Mages		min	max	none	0
gambleDummy	432	1	1	item_gambleDummy																														1	1	none	0
ga_h_wraithly_weapon_dmg	433	1	7				1	ga_marker_wraithly_weapon																								+#% Enhanced Damage		Min %	Max %	Greater Affix hybrid marker for Wraithly Weapon	0
ga_h_wraithly_armor_ac	434	1	2	item_armor_percent			1	ga_marker_wraithly_armor																								+#% Enhanced Defense		Min %	Max %	Greater Affix hybrid marker for Wraithly Armor	0
ga_h_elements_res_cold_lvl	435	1	17	item_resist_cold_perlevel			1	ga_marker_elements																							1	Cold Resist +#% (Based on Character Level)	#/8 per Level			Greater Affix hybrid marker for Elements	0
ga_grandmasters	436	1	1	ga_marker_grandmasters																												Greater Affix marker: Grandmaster's				top-50 Greater Affix marker	0
ga_wraithly_weapon	437	1	1	ga_marker_wraithly_weapon																												Greater Affix marker: Wraithly Weapon				top-50 Greater Affix marker	0
ga_wraithly_armor	438	1	1	ga_marker_wraithly_armor																												Greater Affix marker: Wraithly Armor				top-50 Greater Affix marker	0
ga_godly	439	1	1	ga_marker_godly																												Greater Affix marker: Godly				top-50 Greater Affix marker	0
ga_jewelers	440	1	1	ga_marker_jewelers																												Greater Affix marker: Jeweler's				top-50 Greater Affix marker	0
ga_visionary	441	1	1	ga_marker_visionary																												Greater Affix marker: Visionary				top-50 Greater Affix marker	0
ga_gritty	442	1	1	ga_marker_gritty																												Greater Affix marker: Gritty				top-50 Greater Affix marker	0
ga_evisceration	443	1	1	ga_marker_evisceration																												Greater Affix marker: Evisceration				top-50 Greater Affix marker	0
ga_transcendence_damage	444	1	1	ga_marker_transcendence_damage																												Greater Affix marker: Transcendence Damage				top-50 Greater Affix marker	0
ga_quickness	445	1	1	ga_marker_quickness																												Greater Affix marker: Quickness				top-50 Greater Affix marker	0
ga_alacrity	446	1	1	ga_marker_alacrity																												Greater Affix marker: Alacrity				top-50 Greater Affix marker	0
ga_fervor	447	1	1	ga_marker_fervor																												Greater Affix marker: Fervor				top-50 Greater Affix marker	0
ga_deflecting	448	1	1	ga_marker_deflecting																												Greater Affix marker: Deflecting				top-50 Greater Affix marker	0
ga_chromatic	449	1	1	ga_marker_chromatic																												Greater Affix marker: Chromatic				top-50 Greater Affix marker	0
ga_scintillating	450	1	1	ga_marker_scintillating																												Greater Affix marker: Scintillating				top-50 Greater Affix marker	0
ga_four_seasons	451	1	1	ga_marker_four_seasons																												Greater Affix marker: Four Seasons				top-50 Greater Affix marker	0
ga_elements	452	1	1	ga_marker_elements																												Greater Affix marker: Elements				top-50 Greater Affix marker	0
ga_magus	453	1	1	ga_marker_magus																												Greater Affix marker: Magus				top-50 Greater Affix marker	0
ga_apprentice	454	1	1	ga_marker_apprentice																												Greater Affix marker: Apprentice				top-50 Greater Affix marker	0
ga_equilibrium	455	1	1	ga_marker_equilibrium																												Greater Affix marker: Equilibrium				top-50 Greater Affix marker	0
ga_traveling_speed	456	1	1	ga_marker_traveling_speed																												Greater Affix marker: Traveling / Speed				top-50 Greater Affix marker	0
ga_omniscient	457	1	1	ga_marker_omniscient																												Greater Affix marker: Omniscient				top-50 Greater Affix marker	0
ga_sages	458	1	1	ga_marker_sages																												Greater Affix marker: Sage's				top-50 Greater Affix marker	0
ga_arch_angels	459	1	1	ga_marker_arch_angels																												Greater Affix marker: Arch-Angel's				top-50 Greater Affix marker	0
ga_witch_hunters	460	1	1	ga_marker_witch_hunters																												Greater Affix marker: Witch-hunter's				top-50 Greater Affix marker	0
ga_valkyries	461	1	1	ga_marker_valkyries																												Greater Affix marker: Valkyrie's				top-50 Greater Affix marker	0
ga_priests	462	1	1	ga_marker_priests																												Greater Affix marker: Priest's				top-50 Greater Affix marker	0
ga_berserkers	463	1	1	ga_marker_berserkers																												Greater Affix marker: Berserker's				top-50 Greater Affix marker	0
ga_necromancers	464	1	1	ga_marker_necromancers																												Greater Affix marker: Necromancer's				top-50 Greater Affix marker	0
ga_hierophants	465	1	1	ga_marker_hierophants																												Greater Affix marker: Hierophant's				top-50 Greater Affix marker	0
ga_arch_devils	466	1	1	ga_marker_arch_devils																												Greater Affix marker: Arch-Devil's				top-50 Greater Affix marker	0
ga_cunning	467	1	1	ga_marker_cunning																												Greater Affix marker: Cunning				top-50 Greater Affix marker	0
ga_rose_branded	468	1	1	ga_marker_rose_branded																												Greater Affix marker: Rose Branded				top-50 Greater Affix marker	0
ga_pyromaniacs_damage	469	1	1	ga_marker_pyromaniacs_damage																												Greater Affix marker: Pyromaniac's Damage				top-50 Greater Affix marker	0
ga_pyromaniacs_pierce	470	1	1	ga_marker_pyromaniacs_pierce																												Greater Affix marker: Pyromaniac's Pierce				top-50 Greater Affix marker	0
ga_zeuss_damage	471	1	1	ga_marker_zeuss_damage																												Greater Affix marker: Zeus's Damage				top-50 Greater Affix marker	0
ga_zeuss_pierce	472	1	1	ga_marker_zeuss_pierce																												Greater Affix marker: Zeus's Pierce				top-50 Greater Affix marker	0
ga_frost_wyrms_damage	473	1	1	ga_marker_frost_wyrms_damage																												Greater Affix marker: Frost Wyrm's Damage				top-50 Greater Affix marker	0
ga_frost_wyrms_pierce	474	1	1	ga_marker_frost_wyrms_pierce																												Greater Affix marker: Frost Wyrm's Pierce				top-50 Greater Affix marker	0
ga_manticores_damage	475	1	1	ga_marker_manticores_damage																												Greater Affix marker: Manticore's Damage				top-50 Greater Affix marker	0
ga_manticores_pierce	476	1	1	ga_marker_manticores_pierce																												Greater Affix marker: Manticore's Pierce				top-50 Greater Affix marker	0
ga_lich	477	1	1	ga_marker_lich																												Greater Affix marker: Lich				top-50 Greater Affix marker	0
ga_transcendence_amp	478	1	1	ga_marker_transcendence_amp																												Greater Affix marker: Transcendence Amp				top-50 Greater Affix marker	0
ga_transcendence_lower_resist	479	1	1	ga_marker_transcendence_lower_resist																												Greater Affix marker: Transcendence Lower Resist				top-50 Greater Affix marker	0
ga_aureole_might	480	1	1	ga_marker_aureole_might																												Greater Affix marker: Aureole Might				top-50 Greater Affix marker	0
ga_aureole_fanaticism	481	1	1	ga_marker_aureole_fanaticism																												Greater Affix marker: Aureole Fanaticism				top-50 Greater Affix marker	0
ga_aureole_conviction	482	1	1	ga_marker_aureole_conviction																												Greater Affix marker: Aureole Conviction				top-50 Greater Affix marker	0
ga_aureole_holy_freeze	483	1	1	ga_marker_aureole_holy_freeze																												Greater Affix marker: Aureole Holy Freeze				top-50 Greater Affix marker	0
ga_aureole_meditation	484	1	1	ga_marker_aureole_meditation																												Greater Affix marker: Aureole Meditation				top-50 Greater Affix marker	0
ga_aureole_vigor	485	1	1	ga_marker_aureole_vigor																												Greater Affix marker: Aureole Vigor				top-50 Greater Affix marker	0
salvageDummy	486	1	1	item_salvageDummy																														1	1	none	0
ga_godly_ac%	487	1	2	greater_godly_item_armor_percent																												+#% Enhanced Defense		Min %	Max %	Greater Godly colored Enhanced Defense	0
ga_godly_red-dmg%	488	1	1	greater_godly_damageresist																												Damage Reduced by #%		Min %	Max %	Greater Godly colored Physical Damage Reduction	0
